ID,experimental_phase,group,date,intake
413,Experimental,Uncertainty,2022-11-04,47
414,Experimental,No-Uncertainty,2022-11-04,60
415,Experimental,No-Uncertainty,2022-11-04,66
416,Experimental,Uncertainty,2022-11-04,34
417,Experimental,Uncertainty,2022-11-04,39
418,Experimental,Uncertainty,2022-11-04,55
419,Experimental,Uncertainty,2022-11-04,70
420,Experimental,No-Uncertainty,2022-11-04,72
421,Experimental,No-Uncertainty,2022-11-04,65
422,Experimental,No-Uncertainty,2022-11-04,56
413,Experimental,Uncertainty,2022-11-05,51
414,Experimental,No-Uncertainty,2022-11-05,59
415,Experimental,No-Uncertainty,2022-11-05,68
416,Experimental,Uncertainty,2022-11-05,42
417,Experimental,Uncertainty,2022-11-05,69
418,Experimental,Uncertainty,2022-11-05,50
419,Experimental,Uncertainty,2022-11-05,49
420,Experimental,No-Uncertainty,2022-11-05,67
421,Experimental,No-Uncertainty,2022-11-05,71
422,Experimental,No-Uncertainty,2022-11-05,57
413,Experimental,Uncertainty,2022-11-06,33
414,Experimental,No-Uncertainty,2022-11-06,51
415,Experimental,No-Uncertainty,2022-11-06,49
416,Experimental,Uncertainty,2022-11-06,44
417,Experimental,Uncertainty,2022-11-06,54
418,Experimental,Uncertainty,2022-11-06,55
419,Experimental,Uncertainty,2022-11-06,38
420,Experimental,No-Uncertainty,2022-11-06,74
421,Experimental,No-Uncertainty,2022-11-06,48
422,Experimental,No-Uncertainty,2022-11-06,65
413,Experimental,Uncertainty,2022-11-07,40
414,Experimental,No-Uncertainty,2022-11-07,52
415,Experimental,No-Uncertainty,2022-11-07,85
416,Experimental,Uncertainty,2022-11-07,48
417,Experimental,Uncertainty,2022-11-07,40
418,Experimental,Uncertainty,2022-11-07,43
419,Experimental,Uncertainty,2022-11-07,37
420,Experimental,No-Uncertainty,2022-11-07,63
421,Experimental,No-Uncertainty,2022-11-07,60
422,Experimental,No-Uncertainty,2022-11-07,40
413,Experimental,Uncertainty,2022-11-08,43
414,Experimental,No-Uncertainty,2022-11-08,34
415,Experimental,No-Uncertainty,2022-11-08,81
416,Experimental,Uncertainty,2022-11-08,39
417,Experimental,Uncertainty,2022-11-08,35
418,Experimental,Uncertainty,2022-11-08,51
419,Experimental,Uncertainty,2022-11-08,31
420,Experimental,No-Uncertainty,2022-11-08,57
421,Experimental,No-Uncertainty,2022-11-08,70
422,Experimental,No-Uncertainty,2022-11-08,54
413,Experimental,Uncertainty,2022-11-09,43
414,Experimental,No-Uncertainty,2022-11-09,39
415,Experimental,No-Uncertainty,2022-11-09,48
416,Experimental,Uncertainty,2022-11-09,41
417,Experimental,Uncertainty,2022-11-09,54
418,Experimental,Uncertainty,2022-11-09,52
419,Experimental,Uncertainty,2022-11-09,60
420,Experimental,No-Uncertainty,2022-11-09,36
421,Experimental,No-Uncertainty,2022-11-09,58
422,Experimental,No-Uncertainty,2022-11-09,54
413,Experimental,Uncertainty,2022-11-10,44
414,Experimental,No-Uncertainty,2022-11-10,38
415,Experimental,No-Uncertainty,2022-11-10,53
416,Experimental,Uncertainty,2022-11-10,49
417,Experimental,Uncertainty,2022-11-10,54
418,Experimental,Uncertainty,2022-11-10,50
419,Experimental,Uncertainty,2022-11-10,37
420,Experimental,No-Uncertainty,2022-11-10,52
421,Experimental,No-Uncertainty,2022-11-10,70
422,Experimental,No-Uncertainty,2022-11-10,50
413,Experimental,Uncertainty,2022-11-11,50
414,Experimental,No-Uncertainty,2022-11-11,55
415,Experimental,No-Uncertainty,2022-11-11,61
416,Experimental,Uncertainty,2022-11-11,44
417,Experimental,Uncertainty,2022-11-11,54
418,Experimental,Uncertainty,2022-11-11,65
419,Experimental,Uncertainty,2022-11-11,56
420,Experimental,No-Uncertainty,2022-11-11,53
421,Experimental,No-Uncertainty,2022-11-11,55
422,Experimental,No-Uncertainty,2022-11-11,63
413,Experimental,Uncertainty,2022-11-12,50
414,Experimental,No-Uncertainty,2022-11-12,56
415,Experimental,No-Uncertainty,2022-11-12,53
416,Experimental,Uncertainty,2022-11-12,49
417,Experimental,Uncertainty,2022-11-12,54
418,Experimental,Uncertainty,2022-11-12,46
419,Experimental,Uncertainty,2022-11-12,50
420,Experimental,No-Uncertainty,2022-11-12,57
421,Experimental,No-Uncertainty,2022-11-12,74
422,Experimental,No-Uncertainty,2022-11-12,57
413,Experimental,Uncertainty,2022-11-13,49
414,Experimental,No-Uncertainty,2022-11-13,34
415,Experimental,No-Uncertainty,2022-11-13,67
416,Experimental,Uncertainty,2022-11-13,52
417,Experimental,Uncertainty,2022-11-13,54
418,Experimental,Uncertainty,2022-11-13,58
419,Experimental,Uncertainty,2022-11-13,55
420,Experimental,No-Uncertainty,2022-11-13,56
421,Experimental,No-Uncertainty,2022-11-13,66
422,Experimental,No-Uncertainty,2022-11-13,63
413,Experimental,Uncertainty,2022-11-14,54
414,Experimental,No-Uncertainty,2022-11-14,57
415,Experimental,No-Uncertainty,2022-11-14,61
416,Experimental,Uncertainty,2022-11-14,50
417,Experimental,Uncertainty,2022-11-14,59
418,Experimental,Uncertainty,2022-11-14,64
419,Experimental,Uncertainty,2022-11-14,52
420,Experimental,No-Uncertainty,2022-11-14,46
421,Experimental,No-Uncertainty,2022-11-14,67
422,Experimental,No-Uncertainty,2022-11-14,58
413,Experimental,Uncertainty,2022-11-15,31
414,Experimental,No-Uncertainty,2022-11-15,59
415,Experimental,No-Uncertainty,2022-11-15,61
416,Experimental,Uncertainty,2022-11-15,46
417,Experimental,Uncertainty,2022-11-15,62
418,Experimental,Uncertainty,2022-11-15,61
419,Experimental,Uncertainty,2022-11-15,31
420,Experimental,No-Uncertainty,2022-11-15,65
421,Experimental,No-Uncertainty,2022-11-15,69
422,Experimental,No-Uncertainty,2022-11-15,56
413,Experimental,Uncertainty,2022-11-16,54
414,Experimental,No-Uncertainty,2022-11-16,59
415,Experimental,No-Uncertainty,2022-11-16,59
416,Experimental,Uncertainty,2022-11-16,53
417,Experimental,Uncertainty,2022-11-16,47
418,Experimental,Uncertainty,2022-11-16,68
419,Experimental,Uncertainty,2022-11-16,54
420,Experimental,No-Uncertainty,2022-11-16,65
421,Experimental,No-Uncertainty,2022-11-16,63
422,Experimental,No-Uncertainty,2022-11-16,63
413,Experimental,Uncertainty,2022-11-17,44
414,Experimental,No-Uncertainty,2022-11-17,80
415,Experimental,No-Uncertainty,2022-11-17,57
416,Experimental,Uncertainty,2022-11-17,66
417,Experimental,Uncertainty,2022-11-17,57
418,Experimental,Uncertainty,2022-11-17,40
419,Experimental,Uncertainty,2022-11-17,39
420,Experimental,No-Uncertainty,2022-11-17,59
421,Experimental,No-Uncertainty,2022-11-17,55
422,Experimental,No-Uncertainty,2022-11-17,56
413,Experimental,Uncertainty,2022-11-18,82
414,Experimental,No-Uncertainty,2022-11-18,53
415,Experimental,No-Uncertainty,2022-11-18,102
416,Experimental,Uncertainty,2022-11-18,51
417,Experimental,Uncertainty,2022-11-18,54
418,Experimental,Uncertainty,2022-11-18,54
419,Experimental,Uncertainty,2022-11-18,61
420,Experimental,No-Uncertainty,2022-11-18,53
421,Experimental,No-Uncertainty,2022-11-18,67
422,Experimental,No-Uncertainty,2022-11-18,69
413,Experimental,Uncertainty,2022-11-19,38
414,Experimental,No-Uncertainty,2022-11-19,76
415,Experimental,No-Uncertainty,2022-11-19,60
416,Experimental,Uncertainty,2022-11-19,40
417,Experimental,Uncertainty,2022-11-19,49
418,Experimental,Uncertainty,2022-11-19,53
419,Experimental,Uncertainty,2022-11-19,55
420,Experimental,No-Uncertainty,2022-11-19,54
421,Experimental,No-Uncertainty,2022-11-19,69
422,Experimental,No-Uncertainty,2022-11-19,66
413,Experimental,Uncertainty,2022-11-20,58
414,Experimental,No-Uncertainty,2022-11-20,69
415,Experimental,No-Uncertainty,2022-11-20,61
416,Experimental,Uncertainty,2022-11-20,40
417,Experimental,Uncertainty,2022-11-20,52
418,Experimental,Uncertainty,2022-11-20,51
419,Experimental,Uncertainty,2022-11-20,47
420,Experimental,No-Uncertainty,2022-11-20,48
421,Experimental,No-Uncertainty,2022-11-20,69
422,Experimental,No-Uncertainty,2022-11-20,55
413,Experimental,Uncertainty,2022-11-21,54
414,Experimental,No-Uncertainty,2022-11-21,59
415,Experimental,No-Uncertainty,2022-11-21,65
416,Experimental,Uncertainty,2022-11-21,49
417,Experimental,Uncertainty,2022-11-21,54
418,Experimental,Uncertainty,2022-11-21,55
419,Experimental,Uncertainty,2022-11-21,54
420,Experimental,No-Uncertainty,2022-11-21,64
421,Experimental,No-Uncertainty,2022-11-21,69
422,Experimental,No-Uncertainty,2022-11-21,65
414,Experimental,No-Uncertainty,2022-11-22,37
415,Experimental,No-Uncertainty,2022-11-22,70
416,Experimental,Uncertainty,2022-11-22,55
417,Experimental,Uncertainty,2022-11-22,54
418,Experimental,Uncertainty,2022-11-22,61
419,Experimental,Uncertainty,2022-11-22,58
420,Experimental,No-Uncertainty,2022-11-22,59
421,Experimental,No-Uncertainty,2022-11-22,69
422,Experimental,No-Uncertainty,2022-11-22,66
