ID,date,weight,group,experimental_phase,rel_date
495,2023-03-24,26.49,Uncertainty,Baseline,10
496,2023-03-24,21.06,Uncertainty,Baseline,10
497,2023-03-24,20.7,Uncertainty,Baseline,10
498,2023-03-24,23.7,No-Uncertainty,Baseline,10
499,2023-03-24,22.55,No-Uncertainty,Baseline,10
500,2023-03-24,24.38,Uncertainty,Baseline,10
501,2023-03-24,24.25,No-Uncertainty,Baseline,10
494,2023-03-27,28.85,No-Uncertainty,Baseline,13
495,2023-03-27,26.4,Uncertainty,Baseline,13
496,2023-03-27,21.9,Uncertainty,Baseline,13
497,2023-03-27,21.08,Uncertainty,Baseline,13
498,2023-03-27,24,No-Uncertainty,Baseline,13
499,2023-03-27,22.7,No-Uncertainty,Baseline,13
500,2023-03-27,24.5,Uncertainty,Baseline,13
501,2023-03-27,24.4,No-Uncertainty,Baseline,13
494,2023-03-29,30,No-Uncertainty,Baseline,15
495,2023-03-29,27.1,Uncertainty,Baseline,15
496,2023-03-29,21.7,Uncertainty,Baseline,15
497,2023-03-29,21.6,Uncertainty,Baseline,15
498,2023-03-29,24.14,No-Uncertainty,Baseline,15
499,2023-03-29,22.9,No-Uncertainty,Baseline,15
500,2023-03-29,24.8,Uncertainty,Baseline,15
501,2023-03-29,25.05,No-Uncertainty,Baseline,15
498,2023-03-30,22.1,No-Uncertainty,Baseline,16
494,2023-03-31,29.45,No-Uncertainty,Baseline,17
495,2023-03-31,27.08,Uncertainty,Baseline,17
496,2023-03-31,21.26,Uncertainty,Baseline,17
497,2023-03-31,21,Uncertainty,Baseline,17
498,2023-03-31,23.58,No-Uncertainty,Baseline,17
499,2023-03-31,23.05,No-Uncertainty,Baseline,17
500,2023-03-31,25,Uncertainty,Baseline,17
501,2023-03-31,24.8,No-Uncertainty,Baseline,17
494,2023-04-03,29.88,No-Uncertainty,Experimental,20
495,2023-04-03,27.9,Uncertainty,Experimental,20
496,2023-04-03,22.2,Uncertainty,Experimental,20
497,2023-04-03,21.86,Uncertainty,Experimental,20
498,2023-04-03,24.58,No-Uncertainty,Experimental,20
499,2023-04-03,23.78,No-Uncertainty,Experimental,20
500,2023-04-03,26,Uncertainty,Experimental,20
501,2023-04-03,26.52,No-Uncertainty,Experimental,20
494,2023-04-05,27.7,No-Uncertainty,Experimental,22
495,2023-04-05,26.12,Uncertainty,Experimental,22
496,2023-04-05,20.75,Uncertainty,Experimental,22
497,2023-04-05,20.93,Uncertainty,Experimental,22
498,2023-04-05,22.95,No-Uncertainty,Experimental,22
499,2023-04-05,23.24,No-Uncertainty,Experimental,22
500,2023-04-05,24.26,Uncertainty,Experimental,22
501,2023-04-05,25.15,No-Uncertainty,Experimental,22
494,2023-04-06,27.25,No-Uncertainty,Experimental,23
494,2023-04-07,29.5,No-Uncertainty,Experimental,24
495,2023-04-07,26.3,Uncertainty,Experimental,24
496,2023-04-07,21.6,Uncertainty,Experimental,24
497,2023-04-07,21.3,Uncertainty,Experimental,24
498,2023-04-07,24.2,No-Uncertainty,Experimental,24
499,2023-04-07,23.5,No-Uncertainty,Experimental,24
500,2023-04-07,24.3,Uncertainty,Experimental,24
501,2023-04-07,24.5,No-Uncertainty,Experimental,24
494,2023-04-10,27.9,No-Uncertainty,Experimental,27
495,2023-04-10,26.39,Uncertainty,Experimental,27
496,2023-04-10,21.86,Uncertainty,Experimental,27
